Top 3
A : 8976
E : 8040
O : 7040

Top 5
A : 8976
E : 8040
O : 7040
S : 6344
R : 4592

Top 10
A : 8976
E : 8040
O : 7040
S : 6344
R : 4592
M : 3592
I : 3576
N : 3184
U : 3096
D : 2896

All 
A : 8976
E : 8040
O : 7040
S : 6344
R : 4592
M : 3592
I : 3576
N : 3184
U : 3096
D : 2896
T : 2744
C : 2568
L : 2376
P : 1672
V : 1072
H : 1016
G : 992
B : 784
F : 624
Q : 568
Z : 344
J : 256
X : 136
Y : 56
K : 8

