Top 3
A : 9412
E : 8411
O : 7080

Top 5
A : 9412
E : 8411
O : 7080
S : 6389
R : 4488

Top 10
A : 9412
E : 8411
O : 7080
S : 6389
R : 4488
I : 3660
M : 3428
N : 3303
D : 3169
U : 2932

All 
A : 9412
E : 8411
O : 7080
S : 6389
R : 4488
I : 3660
M : 3428
N : 3303
D : 3169
U : 2932
T : 2817
C : 2536
L : 2142
P : 1475
V : 1082
H : 974
G : 922
B : 846
F : 733
Q : 674
Z : 356
J : 205
X : 146
Y : 48
K : 3

