Top 3
E : 81520
T : 60368
A : 53216

Top 5
E : 81520
T : 60368
A : 53216
O : 50336
I : 48264

Top 10
E : 81520
T : 60368
A : 53216
O : 50336
I : 48264
N : 46848
S : 41520
H : 41408
R : 40856
D : 28336

All 
E : 81520
T : 60368
A : 53216
O : 50336
I : 48264
N : 46848
S : 41520
H : 41408
R : 40856
D : 28336
L : 25080
U : 19968
C : 18520
M : 17568
F : 16976
W : 14176
P : 13040
Y : 12928
G : 12600
B : 10896
V : 7200
K : 4296
X : 1240
Q : 848
J : 704
Z : 248

