Top 3
E : 122924
A : 97064
O : 86018

Top 5
E : 122924
A : 97064
O : 86018
T : 74653
S : 68867

Top 10
E : 122924
A : 97064
O : 86018
T : 74653
S : 68867
I : 65186
N : 63812
R : 61466
H : 45651
D : 44112

All 
E : 122924
A : 97064
O : 86018
T : 74653
S : 68867
I : 65186
N : 63812
R : 61466
H : 45651
D : 44112
L : 33929
U : 33463
M : 32117
C : 29860
F : 19952
P : 19518
G : 16332
W : 14380
B : 14264
Y : 12760
V : 12476
Q : 5679
K : 4205
J : 2160
X : 1896
Z : 1577

