Top 3
E : 123744
A : 98040
O : 86152

Top 5
E : 123744
A : 98040
O : 86152
T : 74440
S : 68680

Top 10
E : 123744
A : 98040
O : 86152
T : 74440
S : 68680
I : 64352
N : 63400
R : 60576
H : 45960
D : 44320

All 
E : 123744
A : 98040
O : 86152
T : 74440
S : 68680
I : 64352
N : 63400
R : 60576
H : 45960
D : 44320
L : 33936
U : 33512
M : 31984
C : 28872
P : 19816
F : 19584
G : 15848
B : 14464
W : 14048
Y : 12856
V : 12096
Q : 5928
K : 4024
J : 2144
X : 1904
Z : 1680

