Ficheiro com ranking -> Probabilistic Counter(k = 8, n = 10) - Gonçalo Freitas (98012)

Top 3
A : 8883
E : 8294
O : 7168

Top 5
A : 8883
E : 8294
O : 7168
S : 6707
R : 4710

Top 10
A : 8883
E : 8294
O : 7168
S : 6707
R : 4710
M : 3712
I : 3712
N : 3404
C : 3200
T : 2918

All 
A : 8883
E : 8294
O : 7168
S : 6707
R : 4710
M : 3712
I : 3712
N : 3404
C : 3200
T : 2918
D : 2841
U : 2611
L : 2534
P : 1792
V : 1024
H : 921
B : 870
G : 844
Q : 665
F : 640
Z : 588
J : 179
X : 128
Y : 25
K : 25

