Top 3
A : 34308
E : 32801
O : 28085

Top 5
A : 34308
E : 32801
O : 28085
S : 20654
R : 16842

Top 10
A : 34308
E : 32801
O : 28085
S : 20654
R : 16842
N : 13455
I : 13053
D : 12314
T : 11937
M : 10921

All 
A : 34308
E : 32801
O : 28085
S : 20654
R : 16842
N : 13455
I : 13053
D : 12314
T : 11937
M : 10921
U : 10800
C : 7937
L : 6100
P : 5558
V : 4255
Q : 4114
G : 3598
F : 3055
H : 2586
B : 2393
J : 1023
Z : 919
X : 368
Y : 8

