Top 3
E : 123333
A : 97422
O : 86134

Top 5
E : 123333
A : 97422
O : 86134
T : 74624
S : 68992

Top 10
E : 123333
A : 97422
O : 86134
T : 74624
S : 68992
I : 65422
N : 63759
R : 61468
H : 45561
D : 43994

All 
E : 123333
A : 97422
O : 86134
T : 74624
S : 68992
I : 65422
N : 63759
R : 61468
H : 45561
D : 43994
U : 33873
L : 33836
M : 32271
C : 29518
F : 19991
P : 19740
G : 16567
W : 14379
B : 14187
Y : 12692
V : 12530
Q : 5688
K : 4232
J : 2134
X : 1828
Z : 1539

